,Open,High,Low,Close,Volume
2024-07-29 20:00:00,544.76,544.76,544.76,544.76,1097195.0
2024-07-29 19:59:00,543.41,543.45,543.37,543.41,435.0
2024-07-29 19:58:00,543.42,543.43,543.4,543.41,1025.0
2024-07-29 19:57:00,543.29,543.42,543.27,543.42,480.0
2024-07-29 19:56:00,543.24,543.28,543.21,543.28,372.0
2024-07-29 19:55:00,543.13,543.27,543.13,543.23,678.0
2024-07-29 19:54:00,543.24,543.25,543.1,543.21,1066.0
2024-07-29 19:53:00,543.3,543.3,543.07,543.22,1189.0
2024-07-29 19:52:00,543.42,543.445,543.31,543.37,647.0
2024-07-29 19:51:00,543.46,543.48,543.42,543.47,1781.0
2024-07-29 19:50:00,543.5,543.5,543.45,543.46,122.0
2024-07-29 19:49:00,543.57,543.57,543.44,543.5,1109.0
2024-07-29 19:48:00,543.56,543.61,543.56,543.57,968.0
2024-07-29 19:47:00,543.61,543.61,543.55,543.59,96.0
2024-07-29 19:46:00,543.69,543.69,543.62,543.629,517.0
2024-07-29 19:45:00,543.45,543.64,543.441,543.61,5530.0
2024-07-29 19:44:00,543.55,543.55,543.45,543.47,4728.0
2024-07-29 19:43:00,543.59,543.61,543.55,543.55,603.0
2024-07-29 19:42:00,543.75,543.75,543.53,543.57,1168.0
2024-07-29 19:41:00,543.94,543.94,543.74,543.77,6482.0
2024-07-29 19:40:00,543.949,543.96,543.92,543.95,110.0
2024-07-29 19:39:00,543.96,543.98,543.91,543.97,108.0
2024-07-29 19:38:00,543.97,543.99,543.93,543.955,200.0
2024-07-29 19:37:00,544.0,544.01,543.94,543.97,219.0
2024-07-29 19:36:00,544.04,544.04,543.962,543.975,557.0
2024-07-29 19:35:00,544.025,544.04,543.99,544.04,149.0
2024-07-29 19:34:00,543.96,544.09,543.96,544.0,524.0
2024-07-29 19:33:00,543.88,543.93,543.88,543.9,146.0
2024-07-29 19:32:00,543.93,543.93,543.85,543.89,441.0
2024-07-29 19:31:00,543.96,543.96,543.93,543.93,357.0
2024-07-29 19:30:00,543.885,543.964,543.86,543.964,94.0
2024-07-29 19:29:00,543.881,543.925,543.881,543.92,218.0
2024-07-29 19:28:00,543.875,543.915,543.85,543.915,28.0
2024-07-29 19:27:00,543.92,543.92,543.85,543.85,43.0
2024-07-29 19:26:00,543.96,543.96,543.841,543.841,3496.0
2024-07-29 19:25:00,543.98,543.99,543.94,543.94,634.0
2024-07-29 19:24:00,544.02,544.02,543.98,543.98,120.0
2024-07-29 19:23:00,543.99,544.03,543.98,544.02,291.0
2024-07-29 19:22:00,544.01,544.01,543.98,543.98,659.0
2024-07-29 19:21:00,543.995,544.03,543.981,544.005,708.0
2024-07-29 19:20:00,543.98,544.02,543.96,544.0,341.0
2024-07-29 19:19:00,543.96,543.97,543.95,543.95,384.0
2024-07-29 19:18:00,543.925,544.01,543.925,543.99,21.0
2024-07-29 19:17:00,543.89,543.935,543.89,543.93,409.0
2024-07-29 19:16:00,543.95,543.95,543.836,543.9,1379.0
2024-07-29 19:15:00,544.02,544.069,543.97,543.97,4376.0
2024-07-29 19:14:00,543.97,544.03,543.97,544.015,1769.0
2024-07-29 19:13:00,543.91,543.98,543.91,543.96,1134.0
2024-07-29 19:12:00,543.9,543.96,543.81,543.905,1098.0
2024-07-29 19:11:00,544.01,544.01,543.86,543.86,1621.0
2024-07-29 19:10:00,544.019,544.06,543.79,543.89,1909.0
2024-07-29 19:09:00,544.16,544.16,543.95,543.98,17173.0
2024-07-29 19:08:00,544.36,544.36,544.11,544.2,6536.0
2024-07-29 19:07:00,544.76,544.77,544.38,544.4,3911.0
2024-07-29 19:06:00,544.825,544.825,544.75,544.76,1363.0
2024-07-29 19:05:00,544.855,544.87,544.8,544.825,307.0
2024-07-29 19:04:00,544.86,544.87,544.83,544.87,104.0
2024-07-29 19:03:00,544.87,544.87,544.82,544.82,163.0
2024-07-29 19:02:00,544.89,544.89,544.83,544.88,7.0
