Datetime,Open,High,Low,Close,Volume
2024-03-25 09:30:00-04:00,519.79,520.03,519.69,519.97,363771.0
2024-03-25 09:31:00-04:00,519.97,520.12,519.89,520.11,126866.0
2024-03-25 09:32:00-04:00,520.11,520.23,520.09,520.17,189083.0
2024-03-25 09:33:00-04:00,520.18,520.36,520.17,520.23,185075.0
2024-03-25 09:34:00-04:00,520.24,520.33,520.17,520.25,156658.0
2024-03-25 09:35:00-04:00,520.26,520.31,520.18,520.29,153065.0
2024-03-25 09:36:00-04:00,520.29,520.32,520.18,520.21,81412.0
2024-03-25 09:37:00-04:00,520.21,520.28,520.18,520.2,48599.0
2024-03-25 09:38:00-04:00,520.2,520.33,520.12,520.26,81034.0
2024-03-25 09:39:00-04:00,520.27,520.31,520.08,520.11,95489.0
2024-03-25 09:40:00-04:00,520.09,520.11,519.64,519.8,321298.0
2024-03-25 09:41:00-04:00,519.79,519.88,519.73,519.86,218533.0
2024-03-25 09:42:00-04:00,519.87,519.94,519.72,519.76,176490.0
2024-03-25 09:43:00-04:00,519.76,519.82,519.61,519.7,163148.0
2024-03-25 09:44:00-04:00,519.71,519.87,519.71,519.74,121201.0
2024-03-25 09:45:00-04:00,519.75,519.76,519.61,519.73,209145.0
2024-03-25 09:46:00-04:00,519.72,520.02,519.72,519.88,191651.0
2024-03-25 09:47:00-04:00,519.88,520.0,519.87,519.98,72480.0
2024-03-25 09:48:00-04:00,519.97,520.0,519.88,519.94,64934.0
2024-03-25 09:49:00-04:00,519.95,520.07,519.88,520.03,80027.0
2024-03-25 09:50:00-04:00,520.03,520.15,519.99,520.13,166342.0
2024-03-25 09:51:00-04:00,520.13,520.41,520.13,520.31,185810.0
2024-03-25 09:52:00-04:00,520.32,520.34,520.25,520.25,89872.0
2024-03-25 09:53:00-04:00,520.25,520.3,520.1,520.19,139080.0
2024-03-25 09:54:00-04:00,520.2,520.3,520.19,520.28,52163.0
2024-03-25 09:55:00-04:00,520.28,520.35,520.19,520.32,63645.0
2024-03-25 09:56:00-04:00,520.33,520.36,520.09,520.14,110939.0
2024-03-25 09:57:00-04:00,520.14,520.25,520.11,520.25,82373.0
2024-03-25 09:58:00-04:00,520.24,520.25,520.13,520.17,58295.0
2024-03-25 09:59:00-04:00,520.18,520.33,520.13,520.3,65078.0
2024-03-25 10:00:00-04:00,520.28,520.34,520.11,520.25,216455.0
2024-03-25 10:01:00-04:00,520.24,520.24,520.13,520.18,104068.0
2024-03-25 10:02:00-04:00,520.17,520.23,520.06,520.22,89154.0
2024-03-25 10:03:00-04:00,520.22,520.3,520.09,520.18,258591.0
2024-03-25 10:04:00-04:00,520.18,520.22,520.08,520.09,53719.0
2024-03-25 10:05:00-04:00,520.1,520.23,520.1,520.21,46070.0
2024-03-25 10:06:00-04:00,520.22,520.3,520.16,520.18,82804.0
2024-03-25 10:07:00-04:00,520.17,520.37,520.14,520.35,80145.0
2024-03-25 10:08:00-04:00,520.35,520.49,520.31,520.45,182633.0
2024-03-25 10:09:00-04:00,520.45,520.5,520.38,520.4,84041.0
2024-03-25 10:10:00-04:00,520.4,520.61,520.4,520.59,82255.0
2024-03-25 10:11:00-04:00,520.59,520.75,520.57,520.74,147229.0
2024-03-25 10:12:00-04:00,520.74,520.74,520.63,520.69,115345.0
2024-03-25 10:13:00-04:00,520.69,520.75,520.63,520.64,84764.0
2024-03-25 10:14:00-04:00,520.64,520.67,520.61,520.64,71719.0
2024-03-25 10:15:00-04:00,520.65,520.73,520.65,520.72,72545.0
2024-03-25 10:16:00-04:00,520.72,520.79,520.66,520.67,145302.0
2024-03-25 10:17:00-04:00,520.67,520.69,520.54,520.63,76319.0
2024-03-25 10:18:00-04:00,520.63,520.66,520.52,520.62,79954.0
2024-03-25 10:19:00-04:00,520.62,520.65,520.59,520.6,48989.0
2024-03-25 10:20:00-04:00,520.61,520.64,520.53,520.62,36724.0
2024-03-25 10:21:00-04:00,520.61,520.89,520.59,520.8,92122.0
2024-03-25 10:22:00-04:00,520.79,520.87,520.76,520.78,61294.0
2024-03-25 10:23:00-04:00,520.78,520.79,520.69,520.69,43454.0
2024-03-25 10:24:00-04:00,520.69,520.74,520.59,520.61,40794.0
2024-03-25 10:25:00-04:00,520.61,520.72,520.58,520.68,36408.0
2024-03-25 10:26:00-04:00,520.68,520.69,520.65,520.67,27300.0
2024-03-25 10:27:00-04:00,520.66,520.67,520.5,520.52,34752.0
2024-03-25 10:28:00-04:00,520.54,520.62,520.54,520.57,37018.0
2024-03-25 10:29:00-04:00,520.57,520.6,520.36,520.44,88200.0
2024-03-25 10:30:00-04:00,520.44,520.54,520.36,520.48,112260.0
2024-03-25 10:31:00-04:00,520.48,520.5,520.35,520.45,108646.0
2024-03-25 10:32:00-04:00,520.44,520.45,520.26,520.37,103119.0
2024-03-25 10:33:00-04:00,520.36,520.43,520.24,520.4,75072.0
2024-03-25 10:34:00-04:00,520.42,520.6,520.41,520.59,96028.0
2024-03-25 10:35:00-04:00,520.59,520.64,520.53,520.61,62492.0
2024-03-25 10:36:00-04:00,520.61,520.63,520.48,520.51,94430.0
2024-03-25 10:37:00-04:00,520.51,520.57,520.36,520.36,56430.0
2024-03-25 10:38:00-04:00,520.37,520.44,520.3,520.4,68475.0
2024-03-25 10:39:00-04:00,520.39,520.55,520.36,520.5,52409.0
2024-03-25 10:40:00-04:00,520.49,520.52,520.46,520.49,37380.0
2024-03-25 10:41:00-04:00,520.49,520.51,520.43,520.44,38471.0
2024-03-25 10:42:00-04:00,520.44,520.45,520.33,520.35,38687.0
2024-03-25 10:43:00-04:00,520.36,520.42,520.31,520.38,68629.0
2024-03-25 10:44:00-04:00,520.38,520.45,520.37,520.42,47511.0
2024-03-25 10:45:00-04:00,520.4,520.43,520.28,520.31,65674.0
2024-03-25 10:46:00-04:00,520.31,520.32,520.19,520.26,78229.0
2024-03-25 10:47:00-04:00,520.25,520.37,520.19,520.2,54864.0
2024-03-25 10:48:00-04:00,520.2,520.34,520.14,520.26,107510.0
2024-03-25 10:49:00-04:00,520.26,520.32,520.21,520.32,44467.0
2024-03-25 10:50:00-04:00,520.31,520.41,520.3,520.35,71030.0
2024-03-25 10:51:00-04:00,520.35,520.44,520.34,520.35,46282.0
2024-03-25 10:52:00-04:00,520.35,520.43,520.33,520.38,39653.0
2024-03-25 10:53:00-04:00,520.38,520.4,520.24,520.31,66230.0
2024-03-25 10:54:00-04:00,520.32,520.38,520.27,520.37,37521.0
2024-03-25 10:55:00-04:00,520.37,520.47,520.36,520.45,84149.0
2024-03-25 10:56:00-04:00,520.45,520.51,520.44,520.49,62046.0
2024-03-25 10:57:00-04:00,520.49,520.55,520.47,520.5,50399.0
2024-03-25 10:58:00-04:00,520.52,520.6,520.52,520.59,74946.0
